"skill_id","skills","average_salary","num_jobs"
1,"python","143828","763"
0,"sql","142833","591"
5,"r","137885","394"
182,"tableau","146970","219"
76,"aws","149630","217"
92,"spark","150188","149"
99,"tensorflow","151536","126"
74,"azure","142306","122"
101,"pytorch","152603","115"
93,"pandas","144816","113"
7,"sas","129920","110"
186,"sas","129920","110"
97,"hadoop","143322","82"
106,"scikit-learn","148964","81"
181,"excel","129224","77"
94,"numpy","149089","73"
80,"snowflake","152687","72"
183,"power bi","131390","72"
4,"java","145706","64"
75,"databricks","139631","63"
81,"gcp","155811","59"
210,"git","132599","58"
8,"go","164691","57"
185,"looker","158715","57"
3,"scala","156702","56"
26,"c","164865","48"
108,"matplotlib","143824","40"
100,"keras","141634","39"
214,"docker","132536","37"
102,"jupyter","129281","37"
77,"bigquery","157142","36"
78,"redshift","151708","36"
13,"c++","129834","35"
95,"pyspark","147544","34"
15,"matlab","120895","34"
2,"nosql","146110","31"
79,"oracle","119475","31"
216,"github","132707","28"
61,"sql server","118435","28"
9,"javascript","104810","26"
213,"kubernetes","144498","25"
215,"flow","140027","25"
22,"vba","107079","24"
96,"airflow","157414","23"
196,"powerpoint","145139","23"
233,"jira","151165","22"
169,"linux","136469","21"
199,"spss","131101","21"
62,"mongodb","143335","19"
18,"mongodb","143335","19"
10,"html","105028","18"
98,"kafka","140132","16"
56,"mysql","121179","16"
187,"qlik","164485","15"
188,"word","129505","15"
103,"nltk","137212","13"
112,"plotly","138333","12"
137,"phoenix","135402","12"
14,"c#","125407","12"
57,"postgresql","112770","12"
